AirlineId,Name,HotlineNumber,IcaoCode,Callsign
349c260c-ac64-4adf-8611-c1cd65dd8ebf,Air Mauritius,,MAU,AIRMAURITIUS
4dea21cf-4a1a-4453-b15f-099b3b27396e,Royal Air Freight,,RAX,AIR ROYAL
65de7541-4589-4fc1-9be0-10a654f3290c,Jetblue Airways,,JBU,JETBLUE
a47f93f2-044b-4c53-935d-19b27e5e8382,Lufthansa Cargo,,GEC,LUFTHANSA CARGO
3d838e02-99bb-4d4f-b878-3ee6b53749d2,Lion Air Services,,WGT,WORLDGATE
8a33d664-1cb6-43ed-addd-eeedc8717543,Euro-asia Air,,EAK,EAKAZ
eb63d0ce-0e93-4df1-ac31-677de86161cc,Cougar Helicopters,,CHI,COUGAR
ead9e05a-cba6-4994-a719-bb4593b7599e,Buffalo Airways,,BVA,BUFFALO AIR
db9cf5bd-7f21-4306-80b7-1d00e4882807,Air Nippon Network Co. Ltd.,,AKX,ALFA WING
9f6d3aa5-3758-451e-a569-b417a4d14d84,Eva Air,,EVA,EVA
0df6ba13-4d72-475f-a62e-17388dae2b2e,Royal Malaysian Air Force,,RMF,ANGKASA
8cf57634-f03f-4423-94bf-fde8ea8b3959,Benair,,HAX,SCOOP
6b8fc812-5740-4559-87d5-f4e5ecb6a88d,Qatar Airways,,QTR,QATARI
d8fee9f9-dbbc-4ef3-b252-e7dbce6cc5ef,Klm Cityhopper,,KLC,KLM
ce2b1246-7273-41d0-9fd7-3a6b90014749,Kalitta Charters,,KFS,KALITTA
b73c1b44-1f5e-42ec-a780-4241a3a638db,Air Mobility Command,,RCH,REACH
e31da7c1-2b92-48e2-a15d-1dbae680d856,Utair Aviation,,UTA,UTAIR
a61ebb33-0534-4af7-a81a-dd5cab444d8f,Kenn Borek Air,,KBA,BOREK AIR
b8f5336a-bf4b-4262-ac25-a5348d3d72f9,Panh,,PNH,KUBAN LIK
e08bcf46-e8fc-421b-9774-d70fac5d37a8,Norwegian Air Sweden,,NSW,
6660a028-066a-4eaa-8a83-5feeffef1824,Petroleum Helicopters,,PHM,PETROLEUM
db73ffa7-88a4-4569-ae15-2ace406ea27b,Wiggins Airways,,WIG,WIGGINS AIRWAYS
ea83818c-9735-48f0-84c3-314579f603de,Kansas State University,,KSU,K-STATE
2b7d3ca1-00b1-4ba0-ab0c-35a9593a31cb,Heli Bernina,,HEB,HELIBERNINA
9268e285-d54d-4874-8c2c-bfc878faec1c,National Airways Corporation,,LFI,AEROMED
3309dc86-e6c1-4c1b-8867-361c64b4ea72,Victor Echo,,VEE,VICTOR ECHO
0e444318-d2d7-43f7-9f71-6cb9d845e8e3,Grant Aviation,,GUN,HOOT
4441df63-5084-4764-bcc1-56ad646c0ba8,Toronto Airways,,TOR,TORONTAIR
8744c245-21a1-4458-8f0d-83710f844256,Pilatus Flugzeugwerke,,PCH,PILATUS WINGS
ad6da733-b117-4cc7-bcb5-c13fb4704c5f,Fly-coop Air Service,,FCA,COOPAIR
b06ad203-618f-4fc1-af21-7e5ed473ee67,Latam Chile,,LAN,LAN CHILE
5e1012d4-74f4-44e9-b927-2abf4ff121f5,Vueling Airlines,,VLG,VUELING
7606edc5-460e-4dab-94b8-3d0266224501,Xl Airways France,,SEU,STARWAY
d3689dc3-3b60-4d49-b07e-1f192f955d6c,Turkish Airlines,,THY,TURKISH
6fd042bb-796d-4177-8f72-7f94e8fd8944,German Navy,,GNY,GERMAN NAVY
10968cc1-f9a7-4f01-ad6c-c07448228ddd,Openskies,,BOS,MISTRAL
8f802a38-9383-4255-be4f-b9df979406b2,Diamond Aviation,,SPK,SPARKLE
484bf48f-4357-4a93-a77c-ef5ed6488a0f,Brussels Airlines,,DAT,BEE-LINE
7f7c47a6-0180-45cd-ba31-7e079e273bf3,Cathay Pacific,,CPA,CATHAY
ef1897df-93a5-4fe2-bfd3-aca57cf7281c,Avianca - El Salvador,,AVA,AVIANCA
e787abdb-c2f6-4394-a158-ee45dedc53a2,Swiss Air Force,,SUI,SWISS AIR FORCE
11b4a635-5c51-4d9c-92a2-c6d5ed59f1fc,Indigo Airlines,,IGO,IFLY
f10e7b31-2be2-4934-86e5-116a6e6b0cc8,Arik Air,,ARA,ARIK AIR
40279ef1-b36f-4022-a0a1-09d0e0eac296,Synergy Aviation,,SYG,SYNERGY
f3f35a62-f189-43a1-8b6e-edd63a22b829,Maleth Aero,,MLT,
6a6062de-4453-4db2-89cd-58e4bc638bd2,Scandinavian Airlines,,SAS,SCANDINAVIAN
c1792b9b-e43f-4b94-8933-2b16f0b0e6be,Luxair,,LGL,LUXAIR
31dce803-40ac-4e80-81db-f5b7fb0c5d2c,Asl Airlines Ireland,,ABR,CONTRACT
48a59649-11bc-4553-a104-7c86823073b8,American Aviation,,LKP,LAKE POWELL
298f487a-3125-4387-bc73-8d7cdae68036,Careflight,,CFH,CARE FLIGHT
9fd5441e-e160-4cd2-b418-7763614ea1f9,Aspen Helicopters,,AHF,ASPEN
6805eba2-f62b-4780-b666-1e4d655f88a6,Interjet,,MTF,INTERJET
67239a12-44aa-438a-9a73-fd72fce697ae,European Air Transport,,BCS,EUROTRANS
e4a3703f-04ff-4f73-bc00-012740882f13,Alaska Airlines,,ASA,Inc.
001e2677-250b-4e67-b4d1-a6518b42197d,Astraeus,,AEU,FLYSTAR
eedcde56-e029-4a96-a767-71ae838099f3,Republic Of Singapore Air Force,,SAF,SINGA
31db1872-2349-4d33-9fdc-0deb19f2c833,I-fly,,RSY,RUSSIAN SKY
ed0275e4-c0c2-4cad-8744-44ce2b069463,Mauretania Airlines International,,MAI,
d6173b5c-21a0-4162-a353-a407eab7ca24,Airmax,,MMX,PERUMAX
d9c4a91e-45ab-413e-8ef6-4eedc7cfe4e1,Red Baron Aviation,,RBN,RED BARON
9521b2fc-2d14-4cf7-9e44-d4e0a137db05,Centennial Flight Centre,,CNS,CENTENNIAL
27554ded-72e7-48cd-83fa-250995a3b8e7,Bulgarian Air Charter,,BUC,BULGARIAN CHARTER
67e83ab5-28d5-491f-91f3-d71899c40a5f,University Of North Dakota,,NDU,SIOUX
723935ed-c7ec-4a25-b942-55eea6e8620e,Quest Diagnostics,,LBQ,LABQUEST
55042a5d-94dd-4fe1-876f-8bc439adcd30,Aerowest Flugcharter Gmbh,,AWH,
c0dd366f-2999-49a7-912c-a9d135498dcf,Deutsche Rettungsflugwacht,,AMB,CIVIL AIR AMBULANCE
f0479660-ca9e-47b4-b6a9-249f751641ba,Spirit Airlines,,NKS,SPIRIT WINGS
0177849c-53ee-46f3-bcc3-d4002b74cd21,Alpine Aviation,,LPC,NETSTAR
c83ccce9-3b36-4c02-bb39-64932668ce14,Federal Air,,FDR,FEDAIR
b122cfe9-3c92-4423-905b-cf488e3db590,Ethiopian Airlines,,ETH,ETHIOPIAN
17472676-ab72-4fb2-8243-ca648dfc0aad,Hawaiian Airlines,,HAL,HAWAIIAN
